track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,duration_min,danceability_category,energy_category,valence_category,popularity_category,duration_categorys,year,category,nominee,artist,winner
7GkCm4wRDhB0WhyOovlLfm,Years & Years,Fiesta de disfraces vol. II,Shine,0,255506,False,0.667,0.717,1,-5.21,0,0.0349,0.193,0.0,0.104,0.495,108.006,4,house,4.26,Media,Alta,Neutral,Popularidad Baja,Mucha_Duración,2010,Best R&B Song,Shine,,1
7GkCm4wRDhB0WhyOovlLfm,Years & Years,Fiesta de disfraces vol. II,Shine,0,255506,False,0.667,0.717,1,-5.21,0,0.0349,0.193,0.0,0.104,0.495,108.006,4,house,4.26,Media,Alta,Neutral,Popularidad Baja,Mucha_Duración,2001,Best Female Country Vocal Performance,Shine,Dolly Parton,1
7nkp1uuSbKkoxMvEs8cSw0,PENTAGON,Positive,Shine,65,198795,False,0.74,0.804,3,-2.187,1,0.0546,0.411,0.0,0.0578,0.791,150.013,4,k-pop,3.31,Alta,Alta,Positiva,Popularidad Alta,Duración_Media,2010,Best R&B Song,Shine,,1
7nkp1uuSbKkoxMvEs8cSw0,PENTAGON,Positive,Shine,65,198795,False,0.74,0.804,3,-2.187,1,0.0546,0.411,0.0,0.0578,0.791,150.013,4,k-pop,3.31,Alta,Alta,Positiva,Popularidad Alta,Duración_Media,2001,Best Female Country Vocal Performance,Shine,Dolly Parton,1
1Jn67dBop9m1of7NrYzmm6,Rudimental;Jess Glynne;Macklemore;Dan Caplen,10's Dance Classics,These Days,0,211760,False,0.654,0.798,0,-4.084,1,0.045,0.188,0.0,0.15,0.576,92.209,4,edm,3.53,Media,Alta,Neutral,Popularidad Baja,Duración_Media,2007,Best Country Album,These Days,Vince Gill,1
3urkfnML0dfP4UIO9SBSUN,Rudimental;Jess Glynne;Macklemore;Dan Caplen,Coffee Chill,These Days,1,211760,False,0.654,0.798,0,-4.084,1,0.045,0.188,0.0,0.15,0.576,92.209,4,edm,3.53,Media,Alta,Neutral,Popularidad Baja,Duración_Media,2007,Best Country Album,These Days,Vince Gill,1
5DWhp2mGKWtxVk7Z2md8jg,Rudimental;Jess Glynne;Macklemore;Dan Caplen,Music for Rainy Days,These Days,0,211760,False,0.654,0.798,0,-4.084,1,0.045,0.188,0.0,0.15,0.576,92.209,4,edm,3.53,Media,Alta,Neutral,Popularidad Baja,Duración_Media,2007,Best Country Album,These Days,Vince Gill,1
3TvjBWbxOJSxi3qXk1zWQb,Rudimental;Jess Glynne;Macklemore;Dan Caplen,La Fine dell'Estate,These Days,1,211760,False,0.654,0.798,0,-4.084,1,0.045,0.188,0.0,0.15,0.576,92.209,4,funk,3.53,Media,Alta,Neutral,Popularidad Baja,Duración_Media,2007,Best Country Album,These Days,Vince Gill,1
1Jn67dBop9m1of7NrYzmm6,Rudimental;Jess Glynne;Macklemore;Dan Caplen,10's Dance Classics,These Days,0,211760,False,0.654,0.798,0,-4.084,1,0.045,0.188,0.0,0.15,0.576,92.209,4,funk,3.53,Media,Alta,Neutral,Popularidad Baja,Duración_Media,2007,Best Country Album,These Days,Vince Gill,1
5DWhp2mGKWtxVk7Z2md8jg,Rudimental;Jess Glynne;Macklemore;Dan Caplen,Music for Rainy Days,These Days,0,211760,False,0.654,0.798,0,-4.084,1,0.045,0.188,0.0,0.15,0.576,92.209,4,funk,3.53,Media,Alta,Neutral,Popularidad Baja,Duración_Media,2007,Best Country Album,These Days,Vince Gill,1
